entity_id,jurisdiction,incorp_date,is_shell,dorm_days,device_hash,industry
ACC_162,Bangladesh,2022-09-10,0,12,DEV_HASH_038,Chemicals
ACC_284,Bangladesh,2022-09-10,0,47,DEV_HASH_009,Chemicals
ACC_295,UAE,2022-09-10,0,1,DEV_HASH_017,Electronics
ACC_282,UAE,2022-09-10,0,27,DEV_HASH_032,Electronics
ACC_248,India,2022-09-10,0,43,DEV_HASH_001,Chemicals
ACC_164,India,2021-06-15,0,27,DEV_HASH_034,Electronics
ACC_106,UAE,2021-06-15,0,22,DEV_HASH_002,Textiles
ACC_266,Bangladesh,2021-06-15,1,916,DEV_HASH_015,Electronics
ACC_155,India,2022-09-10,0,49,DEV_HASH_017,Electronics
ACC_289,India,2020-01-01,0,1,DEV_HASH_001,Chemicals
ACC_128,Bangladesh,2020-01-01,0,31,DEV_HASH_046,Electronics
ACC_148,Bangladesh,2020-01-01,0,9,DEV_HASH_043,Chemicals
ACC_177,UAE,2022-09-10,0,49,DEV_HASH_023,Textiles
ACC_236,Bangladesh,2022-09-10,0,36,DEV_HASH_036,Electronics
ACC_171,India,2020-01-01,0,42,DEV_HASH_037,Chemicals
ACC_219,UAE,2022-09-10,0,27,DEV_HASH_037,Textiles
ACC_228,UAE,2021-06-15,0,29,DEV_HASH_035,Chemicals
ACC_257,Bangladesh,2021-06-15,0,10,DEV_HASH_049,Chemicals
ACC_180,UAE,2021-06-15,0,44,DEV_HASH_038,Chemicals
ACC_212,Bangladesh,2022-09-10,1,957,DEV_HASH_017,Chemicals
ACC_196,Bangladesh,2021-06-15,0,20,DEV_HASH_005,Electronics
ACC_191,Bangladesh,2022-09-10,0,33,DEV_HASH_042,Electronics
ACC_256,Bangladesh,2021-06-15,0,21,DEV_HASH_030,Chemicals
ACC_140,UAE,2020-01-01,0,45,DEV_HASH_024,Chemicals
ACC_174,Bangladesh,2022-09-10,0,33,DEV_HASH_038,Electronics
ACC_199,UAE,2020-01-01,0,15,DEV_HASH_036,Chemicals
ACC_166,UAE,2021-06-15,0,8,DEV_HASH_005,Electronics
ACC_178,UAE,2020-01-01,0,43,DEV_HASH_041,Chemicals
ACC_132,India,2021-06-15,0,13,DEV_HASH_049,Chemicals
ACC_278,India,2020-01-01,0,16,DEV_HASH_014,Electronics
ACC_154,Bangladesh,2022-09-10,1,627,DEV_HASH_045,Chemicals
ACC_262,UAE,2020-01-01,0,22,DEV_HASH_034,Electronics
ACC_227,India,2020-01-01,0,36,DEV_HASH_045,Chemicals
ACC_186,Bangladesh,2022-09-10,0,15,DEV_HASH_025,Electronics
ACC_187,UAE,2020-01-01,0,24,DEV_HASH_005,Electronics
ACC_206,India,2021-06-15,1,1072,DEV_HASH_016,Electronics
ACC_214,Bangladesh,2020-01-01,1,614,DEV_HASH_047,Chemicals
ACC_252,Bangladesh,2022-09-10,0,7,DEV_HASH_038,Electronics
ACC_243,India,2020-01-01,0,25,DEV_HASH_017,Textiles
ACC_263,Bangladesh,2022-09-10,0,13,DEV_HASH_024,Electronics
ACC_181,India,2021-06-15,0,43,DEV_HASH_046,Chemicals
ACC_160,Bangladesh,2022-09-10,1,1131,DEV_HASH_027,Textiles
ACC_129,UAE,2022-09-10,0,3,DEV_HASH_004,Textiles
ACC_125,UAE,2020-01-01,1,831,DEV_HASH_046,Chemicals
ACC_264,India,2022-09-10,0,30,DEV_HASH_040,Electronics
ACC_107,UAE,2021-06-15,0,1,DEV_HASH_018,Electronics
ACC_131,Bangladesh,2020-01-01,1,1278,DEV_HASH_011,Textiles
ACC_293,Bangladesh,2022-09-10,0,11,DEV_HASH_028,Chemicals
ACC_292,Bangladesh,2020-01-01,0,41,DEV_HASH_016,Electronics
ACC_110,UAE,2022-09-10,0,28,DEV_HASH_031,Electronics
ACC_134,India,2021-06-15,0,44,DEV_HASH_005,Chemicals
ACC_270,Bangladesh,2022-09-10,0,41,DEV_HASH_048,Chemicals
ACC_207,Bangladesh,2020-01-01,1,641,DEV_HASH_001,Textiles
ACC_274,Bangladesh,2022-09-10,1,921,DEV_HASH_007,Electronics
ACC_251,India,2021-06-15,0,10,DEV_HASH_031,Electronics
ACC_190,India,2020-01-01,0,17,DEV_HASH_027,Electronics
ACC_105,India,2022-09-10,0,48,DEV_HASH_003,Electronics
ACC_115,India,2020-01-01,0,45,DEV_HASH_024,Chemicals
ACC_111,India,2021-06-15,0,21,DEV_HASH_011,Textiles
ACC_208,Bangladesh,2022-09-10,1,1241,DEV_HASH_003,Chemicals
ACC_175,UAE,2020-01-01,1,1158,DEV_HASH_002,Electronics
ACC_281,Bangladesh,2020-01-01,0,18,DEV_HASH_037,Electronics
ACC_152,Bangladesh,2020-01-01,0,24,DEV_HASH_042,Chemicals
ACC_135,UAE,2022-09-10,0,34,DEV_HASH_004,Electronics
ACC_144,UAE,2020-01-01,0,3,DEV_HASH_049,Electronics
ACC_143,India,2020-01-01,1,534,DEV_HASH_039,Textiles
ACC_242,UAE,2022-09-10,0,12,DEV_HASH_004,Textiles
ACC_283,India,2021-06-15,0,24,DEV_HASH_015,Textiles
ACC_230,UAE,2021-06-15,0,26,DEV_HASH_043,Electronics
ACC_234,Bangladesh,2020-01-01,0,3,DEV_HASH_046,Textiles
ACC_297,Bangladesh,2021-06-15,0,49,DEV_HASH_020,Textiles
ACC_247,Bangladesh,2021-06-15,0,16,DEV_HASH_032,Textiles
ACC_163,Bangladesh,2020-01-01,0,20,DEV_HASH_003,Chemicals
ACC_237,UAE,2022-09-10,0,43,DEV_HASH_048,Electronics
ACC_222,UAE,2022-09-10,0,34,DEV_HASH_003,Electronics
ACC_275,India,2020-01-01,1,999,DEV_HASH_046,Electronics
ACC_209,Bangladesh,2022-09-10,0,12,DEV_HASH_037,Textiles
ACC_268,UAE,2020-01-01,0,33,DEV_HASH_003,Electronics
ACC_226,Bangladesh,2022-09-10,0,49,DEV_HASH_045,Chemicals
ACC_159,India,2022-09-10,0,6,DEV_HASH_007,Textiles
ACC_133,India,2020-01-01,0,6,DEV_HASH_032,Electronics
ACC_156,India,2021-06-15,0,50,DEV_HASH_016,Textiles
ACC_150,Bangladesh,2022-09-10,0,35,DEV_HASH_009,Chemicals
ACC_298,UAE,2020-01-01,0,41,DEV_HASH_001,Chemicals
ACC_108,India,2022-09-10,0,17,DEV_HASH_038,Textiles
ACC_167,India,2020-01-01,0,1,DEV_HASH_027,Textiles
ACC_170,UAE,2021-06-15,0,1,DEV_HASH_003,Textiles
ACC_280,UAE,2021-06-15,0,47,DEV_HASH_024,Chemicals
ACC_267,UAE,2022-09-10,1,1085,DEV_HASH_022,Electronics
ACC_276,Bangladesh,2021-06-15,0,22,DEV_HASH_032,Chemicals
ACC_202,UAE,2022-09-10,1,737,DEV_HASH_022,Textiles
ACC_210,Bangladesh,2021-06-15,0,1,DEV_HASH_023,Textiles
ACC_294,India,2022-09-10,1,1117,DEV_HASH_018,Textiles
ACC_123,UAE,2021-06-15,0,30,DEV_HASH_004,Electronics
ACC_104,India,2022-09-10,0,15,DEV_HASH_007,Chemicals
ACC_223,UAE,2020-01-01,0,37,DEV_HASH_003,Electronics
ACC_203,Bangladesh,2021-06-15,1,1108,DEV_HASH_027,Electronics
ACC_138,Bangladesh,2022-09-10,0,9,DEV_HASH_039,Chemicals
ACC_192,India,2022-09-10,0,20,DEV_HASH_038,Electronics
ACC_139,UAE,2022-09-10,0,41,DEV_HASH_009,Electronics
ACC_259,India,2020-01-01,0,25,DEV_HASH_039,Textiles
ACC_238,Bangladesh,2020-01-01,0,5,DEV_HASH_025,Chemicals
ACC_198,UAE,2020-01-01,0,50,DEV_HASH_030,Chemicals
ACC_254,India,2020-01-01,0,13,DEV_HASH_044,Electronics
ACC_216,UAE,2022-09-10,0,48,DEV_HASH_008,Textiles
ACC_124,India,2020-01-01,0,19,DEV_HASH_005,Electronics
ACC_179,Bangladesh,2020-01-01,0,27,DEV_HASH_035,Textiles
ACC_182,UAE,2020-01-01,0,50,DEV_HASH_003,Chemicals
ACC_299,Bangladesh,2021-06-15,0,18,DEV_HASH_048,Textiles
ACC_261,India,2022-09-10,0,17,DEV_HASH_004,Electronics
ACC_112,UAE,2022-09-10,1,932,DEV_HASH_005,Chemicals
ACC_189,Bangladesh,2020-01-01,0,42,DEV_HASH_039,Chemicals
ACC_109,India,2020-01-01,0,16,DEV_HASH_024,Electronics
ACC_165,India,2020-01-01,0,47,DEV_HASH_005,Chemicals
ACC_288,India,2022-09-10,0,17,DEV_HASH_042,Electronics
ACC_157,India,2021-06-15,0,42,DEV_HASH_039,Textiles
ACC_231,UAE,2022-09-10,0,6,DEV_HASH_025,Chemicals
ACC_286,India,2020-01-01,0,16,DEV_HASH_010,Electronics
ACC_151,India,2022-09-10,0,27,DEV_HASH_045,Chemicals
ACC_204,UAE,2022-09-10,0,9,DEV_HASH_003,Electronics
ACC_197,India,2020-01-01,0,14,DEV_HASH_009,Chemicals
ACC_269,India,2020-01-01,0,15,DEV_HASH_020,Textiles
ACC_277,India,2020-01-01,0,19,DEV_HASH_008,Chemicals
ACC_184,UAE,2020-01-01,1,661,DEV_HASH_034,Electronics
ACC_121,UAE,2022-09-10,0,26,DEV_HASH_007,Electronics
ACC_285,Bangladesh,2021-06-15,0,26,DEV_HASH_038,Electronics
ACC_229,UAE,2022-09-10,1,754,DEV_HASH_043,Chemicals
ACC_218,Bangladesh,2021-06-15,0,42,DEV_HASH_036,Chemicals
ACC_137,UAE,2020-01-01,0,49,DEV_HASH_003,Electronics
ACC_168,India,2020-01-01,0,43,DEV_HASH_009,Textiles
ACC_240,Bangladesh,2020-01-01,0,33,DEV_HASH_014,Textiles
ACC_235,Bangladesh,2021-06-15,1,741,DEV_HASH_004,Electronics
ACC_193,Bangladesh,2022-09-10,0,17,DEV_HASH_001,Textiles
ACC_153,UAE,2022-09-10,0,46,DEV_HASH_029,Chemicals
ACC_249,UAE,2022-09-10,0,21,DEV_HASH_032,Electronics
ACC_172,UAE,2022-09-10,0,36,DEV_HASH_049,Electronics
ACC_232,India,2022-09-10,0,31,DEV_HASH_004,Chemicals
ACC_279,Bangladesh,2022-09-10,1,1499,DEV_HASH_045,Textiles
ACC_136,Bangladesh,2021-06-15,0,37,DEV_HASH_028,Textiles
ACC_183,Bangladesh,2022-09-10,1,1465,DEV_HASH_042,Textiles
ACC_213,India,2022-09-10,1,1254,DEV_HASH_009,Textiles
ACC_272,Bangladesh,2021-06-15,0,42,DEV_HASH_010,Textiles
ACC_102,Bangladesh,2020-01-01,0,30,DEV_HASH_024,Chemicals
ACC_161,UAE,2022-09-10,0,13,DEV_HASH_004,Chemicals
ACC_200,Bangladesh,2020-01-01,0,35,DEV_HASH_010,Textiles
ACC_119,UAE,2021-06-15,0,24,DEV_HASH_025,Electronics
ACC_217,Bangladesh,2022-09-10,0,13,DEV_HASH_035,Textiles
ACC_141,UAE,2020-01-01,1,562,DEV_HASH_046,Electronics
ACC_205,Bangladesh,2021-06-15,0,44,DEV_HASH_047,Textiles
ACC_188,Bangladesh,2021-06-15,0,38,DEV_HASH_044,Electronics
ACC_215,Bangladesh,2022-09-10,1,907,DEV_HASH_044,Chemicals
ACC_147,India,2022-09-10,0,34,DEV_HASH_009,Chemicals
ACC_255,UAE,2022-09-10,0,10,DEV_HASH_036,Chemicals
ACC_265,Bangladesh,2020-01-01,0,26,DEV_HASH_024,Chemicals
