entity_id,jurisdiction,incorp_date,is_shell,dorm_days,device_hash,industry,device_entropy
ACC_251,India,2021-06-15,0,10,DEV_HASH_031,Electronics,36
ACC_276,Bangladesh,2021-06-15,0,22,DEV_HASH_032,Chemicals,69
ACC_287,Bangladesh,2020-01-01,0,9,DEV_HASH_047,Chemicals,268
ACC_102,Bangladesh,2020-01-01,0,30,DEV_HASH_024,Chemicals,7
ACC_118,UAE,2022-09-10,0,4,DEV_HASH_003,Textiles,379
ACC_119,UAE,2021-06-15,0,24,DEV_HASH_025,Electronics,2
ACC_226,Bangladesh,2022-09-10,0,49,DEV_HASH_045,Chemicals,114
ACC_267,UAE,2022-09-10,1,1085,DEV_HASH_022,Electronics,30
ACC_258,UAE,2022-09-10,0,5,DEV_HASH_044,Textiles,486
ACC_133,India,2020-01-01,0,6,DEV_HASH_032,Electronics,3
ACC_288,India,2022-09-10,0,17,DEV_HASH_042,Electronics,27
ACC_239,India,2020-01-01,0,49,DEV_HASH_036,Chemicals,529
ACC_101,Bangladesh,2021-06-15,0,44,DEV_HASH_011,Electronics,173
ACC_143,India,2020-01-01,1,534,DEV_HASH_039,Textiles,1
ACC_220,UAE,2020-01-01,1,893,DEV_HASH_003,Electronics,227
ACC_173,Bangladesh,2022-09-10,0,31,DEV_HASH_037,Textiles,180
ACC_167,India,2020-01-01,0,1,DEV_HASH_027,Textiles,26
ACC_259,India,2020-01-01,0,25,DEV_HASH_039,Textiles,19
ACC_298,UAE,2020-01-01,0,41,DEV_HASH_001,Chemicals,26
ACC_139,UAE,2022-09-10,0,41,DEV_HASH_009,Electronics,7
ACC_103,India,2021-06-15,0,18,DEV_HASH_004,Electronics,32
ACC_140,UAE,2020-01-01,0,45,DEV_HASH_024,Chemicals,181
ACC_115,India,2020-01-01,0,45,DEV_HASH_024,Chemicals,165
ACC_238,Bangladesh,2020-01-01,0,5,DEV_HASH_025,Chemicals,60
ACC_201,India,2021-06-15,0,47,DEV_HASH_034,Chemicals,244
