txn_id,ship_id,hs_code,commodity,unit_price,quantity,amount,origin_port
sdv-id-ZtxfJu,SHIP_V_1341,851713,Ready-made Garments,67,1185,79395,Southampton
sdv-id-HLkkyn,SHIP_V_1645,851713,Ready-made Garments,821,933,765993,Dhaka
sdv-id-HpVjJZ,SHIP_V_1697,854143,Ready-made Garments,330,834,275220,Chittagong
sdv-id-XNJdtU,SHIP_V_1368,530310,Raw Jute,1571,1086,1706106,Singapore
sdv-id-AIqSlD,SHIP_V_1712,610910,Ready-made Garments,1151,1713,1971663,Singapore
sdv-id-wTLfBX,SHIP_V_1137,530310,Industrial Chemicals,205,1000,205000,Chittagong
sdv-id-PMcoRX,SHIP_V_1218,382499,Industrial Chemicals,876,661,579036,Dhaka
sdv-id-uWQVBW,SHIP_V_1255,851713,Ready-made Garments,895,351,314145,Dhaka
sdv-id-MslVHP,SHIP_V_1543,610910,Ready-made Garments,423,1489,629847,Singapore
sdv-id-ZSGyQf,SHIP_V_1903,382499,Industrial Chemicals,1304,1439,1876456,Port of London
sdv-id-TrOYsb,SHIP_V_1799,530310,Raw Jute,505,1071,540855,Dhaka
sdv-id-CbRtzv,SHIP_V_1139,851713,Smartphones,1198,615,736770,Port of London
sdv-id-PYcOVq,SHIP_V_1517,854143,Ready-made Garments,196,890,174440,Dhaka
sdv-id-Waaslq,SHIP_V_1233,382499,Industrial Chemicals,1247,261,325467,Southampton
sdv-id-gQFhzP,SHIP_V_1481,854143,Solar Panels,252,1207,304164,Port of London
sdv-id-JKcCxQ,SHIP_V_1066,851713,Solar Panels,840,1887,1585080,Chittagong
sdv-id-bOLOCX,SHIP_V_1308,854143,Smartphones,87,1719,149553,Port of London
sdv-id-yzPnTf,SHIP_V_1454,854143,Solar Panels,1237,805,995785,Dhaka
sdv-id-DtEtpz,SHIP_V_1695,382499,Industrial Chemicals,458,1766,808828,Chittagong
sdv-id-QzBlia,SHIP_V_1444,851713,Smartphones,103,1102,113506,Port of London
sdv-id-iWQJBp,SHIP_V_1174,851713,Smartphones,705,714,503370,Southampton
sdv-id-rOxscH,SHIP_V_1354,610910,Solar Panels,501,581,291081,Southampton
sdv-id-ttawsG,SHIP_V_1656,610910,Ready-made Garments,405,1506,609930,Dhaka
sdv-id-LPnayA,SHIP_V_1790,851713,Raw Jute,244,239,58316,Singapore
sdv-id-VbzZiq,SHIP_V_1094,530310,Industrial Chemicals,321,996,319716,Port of London
sdv-id-YANvEa,SHIP_V_1333,530310,Industrial Chemicals,576,325,187200,Dhaka
sdv-id-RnnATu,SHIP_V_1707,851713,Ready-made Garments,525,465,244125,Southampton
sdv-id-BemcBU,SHIP_V_1547,851713,Smartphones,502,1990,998980,Chittagong
sdv-id-IJgKWA,SHIP_V_1593,610910,Smartphones,6,1286,7716,Chittagong
sdv-id-TqiUiz,SHIP_V_1727,851713,Smartphones,1915,137,262355,Southampton
sdv-id-BmCHRj,SHIP_V_1783,610910,Raw Jute,233,1548,360684,Dhaka
sdv-id-tvWhPv,SHIP_V_1997,851713,Smartphones,616,428,263648,Chittagong
sdv-id-phKauK,SHIP_V_1115,382499,Smartphones,1695,1245,2110275,Southampton
sdv-id-JqFcCZ,SHIP_V_1888,382499,Industrial Chemicals,1510,645,973950,Dhaka
sdv-id-IAJELq,SHIP_V_1911,854143,Solar Panels,199,473,94127,Dhaka
sdv-id-zjHCfT,SHIP_V_1244,854143,Solar Panels,746,1244,928024,Port of London
sdv-id-dEDjvK,SHIP_V_1595,851713,Smartphones,1057,1604,1695428,Port of London
sdv-id-fBZnAg,SHIP_V_1087,854143,Solar Panels,249,991,246759,Southampton
sdv-id-hlMqDx,SHIP_V_1476,851713,Ready-made Garments,71,852,60492,Southampton
sdv-id-wxHFFs,SHIP_V_1765,530310,Raw Jute,1143,1497,1711071,Port of London
sdv-id-NfGoLB,SHIP_V_1024,382499,Industrial Chemicals,1024,1156,1183744,Southampton
sdv-id-AZKYoY,SHIP_V_1835,851713,Solar Panels,518,1633,845894,Southampton
sdv-id-dNmwuK,SHIP_V_1728,382499,Raw Jute,582,1714,997548,Singapore
sdv-id-btStSh,SHIP_V_1225,530310,Raw Jute,499,688,343312,Dhaka
sdv-id-tEIxWz,SHIP_V_1793,854143,Solar Panels,903,405,365715,Dhaka
sdv-id-wwVyHm,SHIP_V_1743,530310,Raw Jute,788,1726,1360088,Port of London
sdv-id-YtQuan,SHIP_V_1608,854143,Ready-made Garments,700,1148,803600,Port of London
sdv-id-NTwZPF,SHIP_V_1654,610910,Solar Panels,316,1800,568800,Singapore
sdv-id-JNmljh,SHIP_V_1447,854143,Ready-made Garments,136,905,123080,Port of London
sdv-id-YcjoYQ,SHIP_V_1142,530310,Ready-made Garments,136,624,84864,Southampton
sdv-id-bWGMXm,SHIP_V_1860,854143,Solar Panels,623,355,221165,Dhaka
sdv-id-mlDdXy,SHIP_V_1608,530310,Raw Jute,71,1939,137669,Chittagong
sdv-id-yxYSjL,SHIP_V_1068,851713,Ready-made Garments,599,995,596005,Chittagong
sdv-id-CkKZzv,SHIP_V_1294,382499,Industrial Chemicals,891,1365,1216215,Southampton
sdv-id-EUebhZ,SHIP_V_1112,530310,Raw Jute,1710,1813,3100230,Port of London
sdv-id-NBqWwI,SHIP_V_1308,610910,Solar Panels,1174,1849,2170726,Chittagong
sdv-id-sYWaln,SHIP_V_1646,382499,Industrial Chemicals,901,1084,976684,Southampton
sdv-id-ahWkiv,SHIP_V_1799,854143,Solar Panels,59,1876,110684,Chittagong
sdv-id-WNcwlx,SHIP_V_1598,610910,Ready-made Garments,1010,438,442380,Southampton
sdv-id-MAMYkP,SHIP_V_1066,851713,Smartphones,1492,869,1296548,Singapore
sdv-id-IZrDmc,SHIP_V_1180,530310,Raw Jute,923,1089,1005147,Dhaka
sdv-id-raXtLE,SHIP_V_1553,610910,Smartphones,1321,466,615586,Dhaka
sdv-id-HeGuiL,SHIP_V_1022,610910,Ready-made Garments,757,769,582133,Port of London
sdv-id-qJRiFK,SHIP_V_1988,530310,Raw Jute,182,124,22568,Chittagong
sdv-id-bAXZWQ,SHIP_V_1003,610910,Raw Jute,1127,683,769741,Port of London
sdv-id-EWkvyZ,SHIP_V_1968,530310,Smartphones,909,1509,1371681,Singapore
sdv-id-JNrPzr,SHIP_V_1927,530310,Raw Jute,565,1035,584775,Singapore
sdv-id-JtdEdf,SHIP_V_1353,382499,Industrial Chemicals,903,324,292572,Southampton
sdv-id-vRKkbK,SHIP_V_1659,851713,Smartphones,432,634,273888,Port of London
sdv-id-uGPcNM,SHIP_V_1504,382499,Industrial Chemicals,259,1892,490028,Chittagong
sdv-id-ttGxjd,SHIP_V_1597,530310,Industrial Chemicals,1199,1461,1751739,Southampton
sdv-id-OFFkfk,SHIP_V_1743,530310,Smartphones,375,855,320625,Chittagong
sdv-id-YGruGT,SHIP_V_1732,610910,Ready-made Garments,1364,1815,2475660,Dhaka
sdv-id-zURVIi,SHIP_V_1724,610910,Solar Panels,768,309,237312,Chittagong
sdv-id-LNRtro,SHIP_V_1904,610910,Ready-made Garments,58,1942,112636,Dhaka
sdv-id-XOFFiB,SHIP_V_1363,851713,Smartphones,300,302,90600,Dhaka
sdv-id-PiPEqs,SHIP_V_1328,530310,Ready-made Garments,1399,1084,1516516,Southampton
sdv-id-cnCfWz,SHIP_V_1432,610910,Smartphones,233,1627,379091,Dhaka
sdv-id-WChhBD,SHIP_V_1689,610910,Ready-made Garments,862,1621,1397302,Dhaka
sdv-id-ktANpY,SHIP_V_1703,851713,Ready-made Garments,181,1789,323809,Singapore
sdv-id-vkCnEy,SHIP_V_1456,610910,Ready-made Garments,778,240,186720,Southampton
sdv-id-UkigSM,SHIP_V_1127,851713,Smartphones,514,534,274476,Port of London
sdv-id-JENHrA,SHIP_V_1210,382499,Industrial Chemicals,1545,878,1356510,Singapore
sdv-id-xTlGsI,SHIP_V_1311,610910,Ready-made Garments,155,1724,267220,Dhaka
sdv-id-xOkEKz,SHIP_V_1030,851713,Smartphones,882,1666,1469412,Dhaka
sdv-id-ZJtjDU,SHIP_V_1002,530310,Raw Jute,617,353,217801,Southampton
sdv-id-McJTYT,SHIP_V_1465,851713,Smartphones,167,760,126920,Southampton
sdv-id-OleMsC,SHIP_V_1148,610910,Raw Jute,2054,138,283452,Southampton
sdv-id-yzgBur,SHIP_V_1983,610910,Ready-made Garments,152,503,76456,Southampton
sdv-id-iqQTZd,SHIP_V_1045,530310,Raw Jute,1845,178,328410,Singapore
sdv-id-KGctrR,SHIP_V_1988,851713,Smartphones,492,345,169740,Port of London
sdv-id-zezyad,SHIP_V_1311,851713,Solar Panels,525,1944,1020600,Port of London
sdv-id-ZMvZSo,SHIP_V_1276,530310,Raw Jute,543,406,220458,Southampton
sdv-id-imzdrz,SHIP_V_1818,530310,Smartphones,2,1835,3670,Dhaka
sdv-id-KBSugE,SHIP_V_1586,382499,Raw Jute,878,1641,1440798,Dhaka
sdv-id-pQleER,SHIP_V_1919,610910,Solar Panels,48,791,37968,Chittagong
sdv-id-AYLXED,SHIP_V_1173,610910,Smartphones,478,324,154872,Chittagong
sdv-id-DbHjdt,SHIP_V_1118,851713,Raw Jute,1650,186,306900,Port of London
sdv-id-EYzZUF,SHIP_V_1651,610910,Ready-made Garments,80,1817,145360,Southampton
sdv-id-sMDAlO,SHIP_V_1419,854143,Ready-made Garments,326,1321,430646,Singapore
sdv-id-QMcRfH,SHIP_V_1271,382499,Industrial Chemicals,879,545,479055,Chittagong
sdv-id-hmhvQf,SHIP_V_1516,854143,Solar Panels,84,554,46536,Chittagong
sdv-id-IReuSf,SHIP_V_1077,610910,Solar Panels,381,1639,624459,Singapore
sdv-id-WKdxcw,SHIP_V_1965,382499,Industrial Chemicals,798,863,688674,Port of London
sdv-id-KBeHkl,SHIP_V_1923,382499,Industrial Chemicals,906,1361,1233066,Dhaka
sdv-id-MWFlAv,SHIP_V_1736,610910,Ready-made Garments,523,926,484298,Port of London
sdv-id-binzqA,SHIP_V_1212,851713,Smartphones,1226,382,468332,Port of London
sdv-id-pGaaqQ,SHIP_V_1577,530310,Smartphones,297,1411,419067,Southampton
sdv-id-nXVdFc,SHIP_V_1309,851713,Ready-made Garments,917,273,250341,Chittagong
sdv-id-KJFdBf,SHIP_V_1780,382499,Industrial Chemicals,2206,1787,3942122,Port of London
sdv-id-rhvpYm,SHIP_V_1228,610910,Smartphones,390,907,353730,Port of London
sdv-id-yTHcMx,SHIP_V_1827,382499,Industrial Chemicals,735,1019,748965,Southampton
sdv-id-vdmrzj,SHIP_V_1893,530310,Raw Jute,654,571,373434,Southampton
sdv-id-shubnd,SHIP_V_1448,851713,Smartphones,1890,1424,2691360,Singapore
sdv-id-CbKJju,SHIP_V_1534,854143,Solar Panels,658,963,633654,Chittagong
sdv-id-eUTRjM,SHIP_V_1060,851713,Smartphones,967,643,621781,Port of London
sdv-id-cEhFdv,SHIP_V_1794,854143,Solar Panels,582,1935,1126170,Singapore
sdv-id-bsKSBd,SHIP_V_1424,851713,Smartphones,401,1145,459145,Dhaka
sdv-id-wIaixJ,SHIP_V_1547,610910,Ready-made Garments,1040,632,657280,Southampton
sdv-id-SsYgDd,SHIP_V_1061,610910,Solar Panels,1085,832,902720,Southampton
sdv-id-OpCkDZ,SHIP_V_1791,530310,Raw Jute,195,1354,264030,Singapore
sdv-id-IFnOCh,SHIP_V_1252,382499,Smartphones,2640,1198,3162720,Dhaka
sdv-id-IYxRzy,SHIP_V_1870,851713,Ready-made Garments,650,237,154050,Dhaka
sdv-id-gQjBcF,SHIP_V_1897,382499,Industrial Chemicals,403,1345,542035,Port of London
sdv-id-gyMtsN,SHIP_V_1563,530310,Smartphones,262,1710,448020,Dhaka
sdv-id-OSJcmi,SHIP_V_1899,530310,Raw Jute,266,1933,514178,Dhaka
sdv-id-gdQFkv,SHIP_V_1479,854143,Solar Panels,474,1680,796320,Chittagong
sdv-id-eQNtcD,SHIP_V_1354,610910,Solar Panels,1187,1499,1779313,Southampton
sdv-id-UtcdmX,SHIP_V_1620,382499,Industrial Chemicals,310,1980,613800,Southampton
sdv-id-ruMorw,SHIP_V_1762,610910,Ready-made Garments,552,587,324024,Southampton
sdv-id-rMfiin,SHIP_V_1665,851713,Ready-made Garments,43,1892,81356,Southampton
sdv-id-Rxtrgc,SHIP_V_1427,851713,Raw Jute,528,698,368544,Port of London
sdv-id-xgpQTw,SHIP_V_1254,530310,Raw Jute,359,1923,690357,Port of London
sdv-id-fWZIxK,SHIP_V_1651,610910,Smartphones,344,1943,668392,Dhaka
sdv-id-cGaiRC,SHIP_V_1811,851713,Raw Jute,578,1886,1090108,Dhaka
sdv-id-tbcJGn,SHIP_V_1199,610910,Smartphones,211,1147,242017,Port of London
sdv-id-pIoDWL,SHIP_V_1272,854143,Solar Panels,595,1286,765170,Dhaka
sdv-id-kRaIOe,SHIP_V_1610,530310,Raw Jute,1341,1509,2023569,Chittagong
sdv-id-rqeKbH,SHIP_V_1948,854143,Solar Panels,659,733,483047,Dhaka
sdv-id-pAtlWF,SHIP_V_1671,382499,Raw Jute,2089,695,1451855,Port of London
sdv-id-bWETyq,SHIP_V_1249,530310,Raw Jute,1605,1692,2715660,Dhaka
sdv-id-FXVpKJ,SHIP_V_1457,610910,Smartphones,8,126,1008,Dhaka
sdv-id-jzlSdn,SHIP_V_1534,851713,Ready-made Garments,1516,882,1337112,Chittagong
sdv-id-DfNZRm,SHIP_V_1447,851713,Smartphones,1463,1378,2016014,Singapore
sdv-id-LYIeHw,SHIP_V_1003,854143,Solar Panels,311,1294,402434,Dhaka
sdv-id-KUosHA,SHIP_V_1268,382499,Raw Jute,898,1551,1392798,Dhaka
sdv-id-hURNiv,SHIP_V_1225,851713,Smartphones,555,1276,708180,Singapore
sdv-id-zwwYQg,SHIP_V_1758,851713,Raw Jute,883,1688,1490504,Southampton
sdv-id-kOZFht,SHIP_V_1947,854143,Solar Panels,20,524,10480,Chittagong
sdv-id-REszsP,SHIP_V_1954,382499,Industrial Chemicals,739,1635,1208265,Port of London
sdv-id-cDOVIn,SHIP_V_1190,530310,Raw Jute,507,1095,555165,Chittagong
sdv-id-RmqCla,SHIP_V_1739,382499,Raw Jute,1528,426,650928,Dhaka
sdv-id-TpyYJi,SHIP_V_1122,530310,Raw Jute,601,1380,829380,Southampton
sdv-id-EFAxze,SHIP_V_1959,382499,Industrial Chemicals,462,656,303072,Port of London
sdv-id-OOGobd,SHIP_V_1685,851713,Smartphones,589,273,160797,Port of London
sdv-id-XmoSJr,SHIP_V_1221,851713,Smartphones,609,1727,1051743,Southampton
sdv-id-CljSwi,SHIP_V_1477,854143,Ready-made Garments,751,1471,1104721,Southampton
sdv-id-XxDEMw,SHIP_V_1390,851713,Smartphones,1341,1163,1559583,Chittagong
sdv-id-JuBHtE,SHIP_V_1799,382499,Industrial Chemicals,1616,545,880720,Port of London
sdv-id-HeTMWP,SHIP_V_1761,854143,Solar Panels,1216,1703,2070848,Singapore
sdv-id-ToYigF,SHIP_V_1027,851713,Raw Jute,186,375,69750,Singapore
sdv-id-jnZdpY,SHIP_V_1643,382499,Raw Jute,1512,1475,2230200,Singapore
sdv-id-FpZngq,SHIP_V_1042,382499,Raw Jute,49,1016,49784,Chittagong
sdv-id-uyJdyX,SHIP_V_1100,854143,Solar Panels,1202,906,1089012,Dhaka
sdv-id-AwbGsF,SHIP_V_1719,851713,Smartphones,479,831,398049,Chittagong
sdv-id-HjpTLb,SHIP_V_1971,851713,Raw Jute,605,1967,1190035,Singapore
sdv-id-sJYwaP,SHIP_V_1239,382499,Industrial Chemicals,177,1255,222135,Southampton
sdv-id-sjJNxT,SHIP_V_1142,530310,Industrial Chemicals,14,1232,17248,Chittagong
sdv-id-nsmaxx,SHIP_V_1619,610910,Raw Jute,64,1785,114240,Singapore
sdv-id-HZeDXj,SHIP_V_1495,851713,Smartphones,1472,285,419520,Southampton
sdv-id-rQAkkY,SHIP_V_1201,530310,Raw Jute,1177,1719,2023263,Chittagong
sdv-id-SNQnAK,SHIP_V_1600,530310,Smartphones,1340,1148,1538320,Port of London
sdv-id-WLMKEh,SHIP_V_1744,851713,Smartphones,1416,1601,2267016,Southampton
sdv-id-dmfxDU,SHIP_V_1655,382499,Raw Jute,240,1729,414960,Southampton
sdv-id-cVgnxq,SHIP_V_1452,610910,Smartphones,1127,402,453054,Port of London
sdv-id-dmXxpQ,SHIP_V_1533,530310,Raw Jute,1284,1483,1904172,Chittagong
sdv-id-JFlsxd,SHIP_V_1657,851713,Smartphones,393,978,384354,Singapore
sdv-id-mxSIdC,SHIP_V_1873,610910,Ready-made Garments,234,1453,340002,Chittagong
sdv-id-qJanDs,SHIP_V_1154,851713,Solar Panels,361,509,183749,Dhaka
sdv-id-mcBvcF,SHIP_V_1019,851713,Raw Jute,698,898,626804,Dhaka
sdv-id-moikNX,SHIP_V_1185,530310,Industrial Chemicals,864,1676,1448064,Southampton
sdv-id-TorXZQ,SHIP_V_1641,610910,Solar Panels,55,253,13915,Port of London
sdv-id-KysrEl,SHIP_V_1025,530310,Raw Jute,488,849,414312,Dhaka
sdv-id-ckUoOu,SHIP_V_1614,854143,Ready-made Garments,816,1211,988176,Chittagong
sdv-id-kkhqMP,SHIP_V_1537,610910,Ready-made Garments,1746,229,399834,Dhaka
sdv-id-MmpiWp,SHIP_V_1546,382499,Industrial Chemicals,2167,289,626263,Port of London
sdv-id-TQvmJa,SHIP_V_1445,851713,Smartphones,375,1347,505125,Port of London
sdv-id-YYwVsn,SHIP_V_1942,851713,Raw Jute,115,1656,190440,Port of London
sdv-id-BJqRKz,SHIP_V_1765,530310,Industrial Chemicals,1903,808,1537624,Chittagong
sdv-id-wBAgkY,SHIP_V_1627,610910,Solar Panels,46,1041,47886,Dhaka
sdv-id-iYUkCN,SHIP_V_1969,382499,Industrial Chemicals,90,1987,178830,Chittagong
sdv-id-Ziacqq,SHIP_V_1074,610910,Smartphones,418,817,341506,Southampton
sdv-id-OCNvwJ,SHIP_V_1461,530310,Ready-made Garments,345,1985,684825,Chittagong
sdv-id-EvyCwB,SHIP_V_1793,530310,Raw Jute,1092,961,1049412,Port of London
sdv-id-FVmdxO,SHIP_V_1622,382499,Industrial Chemicals,2015,1366,2752490,Dhaka
sdv-id-IsbQpL,SHIP_V_1004,854143,Solar Panels,270,1817,490590,Southampton
sdv-id-pqspiD,SHIP_V_1132,851713,Ready-made Garments,56,394,22064,Chittagong
sdv-id-ubKfSm,SHIP_V_1136,851713,Smartphones,1239,199,246561,Singapore
sdv-id-GabzqC,SHIP_V_1044,610910,Ready-made Garments,791,1578,1248198,Singapore
sdv-id-OHPuXg,SHIP_V_1903,530310,Raw Jute,2117,1565,3313105,Southampton
sdv-id-hnQgLI,SHIP_V_1269,610910,Smartphones,201,1957,393357,Dhaka
sdv-id-amFXoH,SHIP_V_1262,382499,Industrial Chemicals,1415,1492,2111180,Port of London
sdv-id-KIXTzY,SHIP_V_1682,530310,Raw Jute,1963,509,999167,Chittagong
sdv-id-WTNDnn,SHIP_V_1763,854143,Smartphones,281,1676,470956,Southampton
sdv-id-IIVXVH,SHIP_V_1720,382499,Raw Jute,556,1014,563784,Dhaka
sdv-id-bXlvbH,SHIP_V_1833,851713,Raw Jute,915,888,812520,Singapore
sdv-id-KzfScR,SHIP_V_1160,854143,Solar Panels,1401,524,734124,Singapore
sdv-id-HBbeTd,SHIP_V_1212,854143,Solar Panels,631,721,454951,Port of London
sdv-id-DfuahA,SHIP_V_1365,530310,Smartphones,1006,1834,1845004,Port of London
sdv-id-IKKlFj,SHIP_V_1523,851713,Raw Jute,353,1861,656933,Chittagong
sdv-id-FExfee,SHIP_V_1697,851713,Smartphones,1569,274,429906,Singapore
sdv-id-xjmIeV,SHIP_V_1405,530310,Smartphones,840,1356,1139040,Port of London
sdv-id-uKQUaT,SHIP_V_1652,851713,Raw Jute,265,1556,412340,Singapore
sdv-id-JQfRYw,SHIP_V_1624,851713,Smartphones,141,1706,240546,Southampton
sdv-id-xbXjVM,SHIP_V_1354,610910,Solar Panels,1982,1497,2967054,Port of London
sdv-id-SegEhD,SHIP_V_1281,382499,Industrial Chemicals,1588,1688,2680544,Dhaka
sdv-id-gQVsAo,SHIP_V_1726,382499,Industrial Chemicals,250,1153,288250,Singapore
sdv-id-oDwamv,SHIP_V_1554,851713,Smartphones,1108,910,1008280,Dhaka
sdv-id-sAnukt,SHIP_V_1738,851713,Smartphones,153,912,139536,Singapore
sdv-id-BiThQQ,SHIP_V_1403,851713,Smartphones,1714,989,1695146,Dhaka
sdv-id-frHeXQ,SHIP_V_1455,610910,Smartphones,261,981,256041,Chittagong
sdv-id-bhRkbE,SHIP_V_1090,382499,Raw Jute,274,1288,352912,Port of London
sdv-id-ztiKAg,SHIP_V_1424,851713,Smartphones,1645,365,600425,Port of London
sdv-id-uVykdL,SHIP_V_1578,854143,Ready-made Garments,1432,267,382344,Dhaka
sdv-id-BHRjIt,SHIP_V_1726,610910,Smartphones,2919,173,504987,Singapore
sdv-id-LRcAJZ,SHIP_V_1614,530310,Raw Jute,1371,535,733485,Chittagong
sdv-id-nuGSpw,SHIP_V_1874,530310,Industrial Chemicals,771,832,641472,Dhaka
sdv-id-PsYFxp,SHIP_V_1150,610910,Solar Panels,365,1841,671965,Port of London
sdv-id-fkuyCJ,SHIP_V_1474,530310,Raw Jute,442,599,264758,Chittagong
sdv-id-nIoBvH,SHIP_V_1560,854143,Solar Panels,9,1163,10467,Dhaka
sdv-id-mpghVn,SHIP_V_1658,530310,Smartphones,477,184,87768,Dhaka
